Mouse ID,Batch,Group,Sex,BL1,BL2,BL3,BL4,S1,S2,S3,S4,PS1,PS2,PS3,PS4,R1,R2,R3,R4,R5,R6,R7,R8
Con 4,1,Control,F,665,863,631,629,583,801,723,707,732,680,684,485,65,301,351,441,675,554,541,545
Con 5,1,Control,F,859,849,685,731,854,1103,645,633,733,662,605,623,128,268,462,569,988,728,933,564
Con 6,1,Control,F,589,507,635,902,699,743,761,949,872,952,828,806,129,311,669,666,516,579,913,736
CON 2.1,2,Control,M,939,909,850,756,807,617,526,736,743,625,690,759,281,357,386,585,565,550,806,732
ChR2 2.2,2,ChR2,F,710,505,494,596,620,589,676,537,779,537,581,515,477,659,737,606,713,682,709,759
ChR2 2.4,2,ChR2,F,564,808,589,596,591,580,419,463,707,625,547,595,532,951,901,851,807,858,802,803
DID CeA 3.1,3,ChR2,M,722,732,783,946,882,723,764,892,621,764,720,478,297,558,803,694,855,797,938,878
DID CeA 3.2,3,ChR2,M,497,649,586,506,546,493,456,601,437,462,704,498,10,44,86,284,212,133,141,274
DID CeA 3.3,3,ChR2,M,741,668,778,638,759,791,568,664,390,346,773,682,3,212,417,443,486,444,533,578
DID CeA 3.4,3,ChR2,M,953,988,579,706,1106,812,902,835,829,801,1011,919,274,559,840,890,724,793,559,700
DID CeA 3.5?,3,ChR2,M,753,613,573,642,820,752,759,564,635,641,706,763,287,526,841,838,691,657,680,781
DID CeA 3.6,3,Control,M,494,602,570,530,570,396,403,380,362,467,491,557,98,262,344,388,435,551,552,537
DID CeA 3.7,3,Control,M,587,630,564,627,572,419,369,416,403,552,575,589,172,298,422,596,447,589,463,364
DID CeA 3.8,3,Control,M,917,680,737,596,699,484,452,438,547,729,830,411,71,386,581,832,586,610,634,716
DID CeA 3.9,3,Control,F,440,767,642,623,532,663,601,553,315,434,543,619,115,101,356,457,412,582,549,696
CeA-DID 4.1,4,ChR2,M,715,469,392,333,492,594,695,568,916,675,669,895,98,558,977,956,974,1049,1366,942
CeA-DID 4.2,4,ChR2,F,184,250,373,457,505,475,519,578,542,477,601,390,131,656,845,699,494,920,431,521
CeA-DID 4.3,4,ChR2,F,934,1237,354,705,646,619,885,626,496,954,718,821,170,909,1049,994,675,803,866,880
CeA-DID 4.4,4,ChR2,F,578,548,556,479,533,721,651,546,537,564,519,446,601,565,450,684,1675,976,1249,1047
CeA-DID 4.5,4,ChR2,M,400,193,188,350,232,34,65,158,89,175,186,319,14,60,118,149,133,270,472,293
CeA-DID 4.6,4,ChR2,M,448,221,505,459,483,491,394,673,593,444,430,630,176,611,680,552,652,879,990,900
CeA-DID 4.8,4,Control,F,270,132,250,192,364,229,219,329,120,147,186,337,8,70,18,175,232,238,209,200